,rank_2020,rank_2019,University,Country,Rank_Improved,rank_for_most_improvement
32,32,32,University of Melbourne,Australia,0,9.0
49,50,49,Australian National University,Australia,-1,10.0
59,60,59,University of Sydney,Australia,-1,11.0
65,66,69,University of Queensland,Australia,3,6.0
70,71,96,UNSW Sydney,Australia,25,3.0
74,75,84,Monash University,Australia,9,5.0
119,120,135,University of Adelaide,Australia,15,4.0
131,131,134,University of Western Australia,Australia,3,7.0
181,179,225,Queensland University of Technology,Australia,46,2.0
192,193,275,University of Canberra,Australia,82,1.0
194,194,196,University of Technology Sydney,Australia,2,8.0
134,134,143,University of Vienna,Austria,9,1.0
44,45,48,KU Leuven,Belgium,3,3.0
122,123,143,Ghent University,Belgium,20,2.0
151,152,128,Université Catholique de Louvain,Belgium,-24,4.0
197,198,225,University of Antwerp,Belgium,27,1.0
17,18,21,University of Toronto,Canada,3,4.0
33,34,37,University of British Columbia,Canada,3,5.0
41,42,44,McGill University,Canada,2,6.0
71,72,77,McMaster University,Canada,5,2.0
84,85,90,University of Montreal,Canada,5,3.0
135,136,132,University of Alberta,Canada,-4,7.0
140,141,176,University of Ottawa,Canada,35,1.0
22,23,22,Tsinghua University,China,-1,4.0
23,24,31,Peking University,China,7,3.0
81,80,93,University of Science and Technology of China,China,13,2.0
107,107,101,Zhejiang University,China,-6,6.0
108,109,104,Fudan University,China,-5,5.0
144,144,134,Nanjing University,China,-10,7.0
160,157,189,Shanghai Jiao Tong University,China,32,1.0
100,101,116,University of Copenhagen,Denmark,15,1.0
114,115,123,Aarhus University,Denmark,8,2.0
184,184,163,Technical University of Denmark,Denmark,-21,3.0
96,96,99,University of Helsinki,Finland,3,1.0
183,184,181,Aalto University,Finland,-3,2.0
45,45,41,Paris Sciences et Lettres – PSL Research University Paris,France,-4,4.0
82,80,73,Sorbonne University,France,-7,5.0
92,93,108,École Polytechnique,France,15,1.0
129,130,130,University of Paris,France,0,2.0
187,188,188,Télécom Paris,France,0,3.0
31,32,32,LMU Munich,Germany,0,7.0
42,43,44,Technical University of Munich,Germany,1,6.0
43,44,47,Heidelberg University,Germany,3,5.0
73,74,67,Humboldt University of Berlin,Germany,-7,14.0
79,80,90,Charité - Universitätsmedizin Berlin,Germany,10,2.0
85,86,76,University of Freiburg,Germany,-10,16.0
91,91,89,University of Tübingen,Germany,-2,8.0
99,99,87,RWTH Aachen University,Germany,-12,18.0
104,105,110,University of Bonn,Germany,5,4.0
116,117,104,Free University of Berlin,Germany,-13,19.0
124,125,123,University of Göttingen,Germany,-2,9.0
141,141,149,Ulm University,Germany,8,3.0
148,149,135,University of Hamburg,Germany,-14,20.0
150,149,131,Technical University of Berlin,Germany,-18,21.0
161,157,151,TU Dresden,Germany,-6,13.0
157,157,146,University of Cologne,Germany,-11,17.0
158,157,123,University of Mannheim,Germany,-34,22.0
162,163,159,University of Würzburg,Germany,-4,10.0
165,166,225,Bielefeld University,Germany,59,1.0
175,175,135,Karlsruhe Institute of Technology,Germany,-40,23.0
182,183,175,University of Erlangen-Nuremberg,Germany,-8,15.0
189,189,184,University of Münster,Germany,-5,12.0
193,194,190,University of Duisburg-Essen,Germany,-4,11.0
34,35,36,University of Hong Kong,Hong Kong,1,1.0
46,47,41,The Hong Kong University of Science and Technology,Hong Kong,-6,3.0
57,57,53,Chinese University of Hong Kong,Hong Kong,-4,2.0
125,126,110,City University of Hong Kong,Hong Kong,-16,5.0
170,171,159,Hong Kong Polytechnic University,Hong Kong,-12,4.0
190,189,225,Tel Aviv University,Israel,36,1.0
149,149,153,Sant’Anna School of Advanced Studies – Pisa,Italy,4,3.0
153,152,161,Scuola Normale Superiore di Pisa,Italy,9,2.0
168,168,180,University of Bologna,Italy,12,1.0
36,36,42,The University of Tokyo,Japan,6,1.0
64,65,65,Kyoto University,Japan,0,2.0
58,59,59,Wageningen University & Research,Netherlands,0,6.0
61,62,62,University of Amsterdam,Netherlands,0,7.0
67,67,68,Leiden University,Netherlands,1,3.0
66,67,58,Delft University of Technology,Netherlands,-9,10.0
68,69,70,Erasmus University Rotterdam,Netherlands,1,4.0
72,73,79,University of Groningen,Netherlands,6,2.0
75,75,74,Utrecht University,Netherlands,-1,8.0
126,127,128,Maastricht University,Netherlands,1,5.0
127,128,123,Radboud University Nijmegen,Netherlands,-5,9.0
137,138,166,Vrije Universiteit Amsterdam,Netherlands,28,1.0
185,186,167,Eindhoven University of Technology,Netherlands,-19,11.0
178,179,225,University of Auckland,New Zealand,46,1.0
130,131,121,University of Oslo,Norway,-10,1.0
163,164,120,Trinity College Dublin,Republic of Ireland,-44,1.0
188,189,199,Lomonosov Moscow State University,Russian Federation,10,1.0
24,25,23,National University of Singapore,Singapore,-2,2.0
48,48,51,"Nanyang Technological University, Singapore",Singapore,3,1.0
136,136,156,University of Cape Town,South Africa,20,2.0
195,194,225,University of the Witwatersrand,South Africa,31,1.0
63,64,63,Seoul National University,South Korea,-1,3.0
88,89,82,Sungkyunkwan University (SKKU),South Korea,-7,5.0
109,110,102,Korea Advanced Institute of Science and Technology (KAIST),South Korea,-8,6.0
146,146,142,Pohang University of Science and Technology (POSTECH),South Korea,-4,4.0
180,179,198,Korea University,South Korea,19,2.0
196,197,225,Yonsei University (Seoul campus),South Korea,28,1.0
142,143,135,Pompeu Fabra University,Spain,-8,1.0
156,157,145,Autonomous University of Barcelona,Spain,-12,2.0
40,41,40,Karolinska Institute,Sweden,-1,3.0
97,96,98,Lund University,Sweden,2,2.0
102,102,87,Uppsala University,Sweden,-15,4.0
176,175,153,Stockholm University,Sweden,-22,5.0
186,186,225,University of Gothenburg,Sweden,39,1.0
13,13,11,ETH Zurich,Switzerland,-2,3.0
37,38,35,École Polytechnique Fédérale de Lausanne,Switzerland,-3,4.0
89,90,90,University of Zurich,Switzerland,0,2.0
93,94,103,University of Basel,Switzerland,9,1.0
112,113,110,University of Bern,Switzerland,-3,5.0
143,144,135,University of Geneva,Switzerland,-9,6.0
200,198,176,University of Lausanne,Switzerland,-22,7.0
120,120,170,National Taiwan University,Taiwan,50,1.0
0,1,1,University of Oxford,United Kingdom,0,10.0
2,3,2,University of Cambridge,United Kingdom,-1,11.0
9,10,9,Imperial College London,United Kingdom,-1,12.0
14,15,14,UCL,United Kingdom,-1,13.0
27,27,26,London School of Economics and Political Science,United Kingdom,-1,14.0
29,30,29,University of Edinburgh,United Kingdom,-1,15.0
35,36,38,King’s College London,United Kingdom,2,6.0
55,55,57,University of Manchester,United Kingdom,2,7.0
76,77,79,University of Warwick,United Kingdom,2,8.0
86,87,78,University of Bristol,United Kingdom,-9,22.0
98,99,93,University of Glasgow,United Kingdom,-6,21.0
110,110,130,Queen Mary University of London,United Kingdom,20,1.0
111,112,116,University of Birmingham,United Kingdom,4,5.0
117,117,106,University of Sheffield,United Kingdom,-11,25.0
121,122,118,University of Southampton,United Kingdom,-4,19.0
128,128,119,University of York,United Kingdom,-9,23.0
132,133,114,Durham University,United Kingdom,-19,27.0
138,139,146,Lancaster University,United Kingdom,7,4.0
147,146,161,University of Sussex,United Kingdom,15,3.0
145,146,141,University of Exeter,United Kingdom,-5,20.0
152,152,149,University of Nottingham,United Kingdom,-3,18.0
155,155,153,University of Leeds,United Kingdom,-2,16.0
164,165,181,University of Liverpool,United Kingdom,16,2.0
166,166,167,University of Leicester,United Kingdom,1,9.0
167,168,158,University of Aberdeen,United Kingdom,-10,24.0
191,192,190,University of East Anglia,United Kingdom,-2,17.0
198,198,187,Cardiff University,United Kingdom,-11,26.0
