,rank_2020,rank_2019,University,Country
0,1,1,University of Oxford,United Kingdom
1,2,5,California Institute of Technology,United States
2,3,2,University of Cambridge,United Kingdom
3,4,3,Stanford University,United States
4,5,4,Massachusetts Institute of Technology,United States
5,6,7,Princeton University,United States
6,7,6,Harvard University,United States
7,8,8,Yale University,United States
8,9,10,University of Chicago,United States
9,10,9,Imperial College London,United Kingdom
10,11,=12,University of Pennsylvania,United States
11,12,=12,Johns Hopkins University,United States
12,=13,15,"University of California, Berkeley",United States
13,=13,11,ETH Zurich,Switzerland
14,15,14,UCL,United Kingdom
15,16,16,Columbia University,United States
16,17,17,"University of California, Los Angeles",United States
17,18,21,University of Toronto,Canada
18,19,19,Cornell University,United States
19,20,18,Duke University,United States
20,21,20,University of Michigan-Ann Arbor,United States
21,22,25,Northwestern University,United States
22,23,22,Tsinghua University,China
23,24,31,Peking University,China
24,25,23,National University of Singapore,Singapore
25,26,28,University of Washington,United States
26,=27,24,Carnegie Mellon University,United States
27,=27,26,London School of Economics and Political Science,United Kingdom
28,29,27,New York University,United States
29,30,29,University of Edinburgh,United Kingdom
30,31,30,"University of California, San Diego",United States
31,=32,=32,LMU Munich,Germany
32,=32,=32,University of Melbourne,Australia
33,34,37,University of British Columbia,Canada
34,35,36,University of Hong Kong,Hong Kong
35,=36,38,King’s College London,United Kingdom
36,=36,42,The University of Tokyo,Japan
37,=38,35,École Polytechnique Fédérale de Lausanne,Switzerland
38,=38,34,Georgia Institute of Technology,United States
39,=38,39,University of Texas at Austin,United States
40,41,40,Karolinska Institute,Sweden
41,42,=44,McGill University,Canada
42,43,=44,Technical University of Munich,Germany
43,44,47,Heidelberg University,Germany
44,=45,48,KU Leuven,Belgium
45,=45,41,Paris Sciences et Lettres – PSL Research University Paris,France
46,47,41,The Hong Kong University of Science and Technology,Hong Kong
47,=48,50,University of Illinois at Urbana-Champaign,United States
48,=48,51,"Nanyang Technological University, Singapore",Singapore
49,50,49,Australian National University,Australia
50,51,43,University of Wisconsin-Madison,United States
51,52,54,Washington University in St Louis,United States
52,53,53,Brown University,United States
53,54,56,University of North Carolina at Chapel Hill,United States
54,=55,=59,"University of California, Davis",United States
55,=55,57,University of Manchester,United Kingdom
56,=57,52,"University of California, Santa Barbara",United States
57,=57,53,Chinese University of Hong Kong,Hong Kong
58,59,=59,Wageningen University & Research,Netherlands
59,60,=59,University of Sydney,Australia
60,61,=74,Boston University,United States
61,=62,62,University of Amsterdam,Netherlands
62,=62,66,University of Southern California,United States
63,64,63,Seoul National University,South Korea
64,65,65,Kyoto University,Japan
